,s1,s2,s3,s4,target
0,1585.29,1398.21,2388.04,47.2,2388.03
1,1588.45,1395.42,2388.01,47.5,2388.06
2,1586.94,1401.34,2388.05,47.5,2388.03
3,1584.12,1406.42,2388.03,47.28,2388.05
4,1587.19,1401.92,2388.01,47.31,2388.03
5,1579.12,1395.13,2388.0,47.26,2388.08
6,1583.34,1404.84,2388.05,47.31,2388.06
7,1580.89,1400.89,2388.05,47.21,2388.06
8,1593.29,1412.28,2388.06,47.37,2388.05
9,1585.25,1398.64,2388.04,47.14,2388.06
10,1581.03,1403.83,2388.04,47.23,2388.06
11,1587.43,1397.82,2388.02,47.27,2388.06
12,1589.09,1403.94,2388.02,47.35,2388.03
13,1583.16,1402.88,2388.03,47.24,2388.06
14,1584.81,1398.79,2388.0,47.35,2388.0
15,1584.51,1407.76,2388.1,47.39,2388.1
16,1582.7,1404.12,2388.06,47.27,2388.02
17,1586.53,1403.69,2388.04,47.44,2388.06
18,1585.58,1402.3,2388.01,47.25,2388.01
19,1587.78,1400.7,2388.05,47.46,2388.05
20,1583.3,1399.2,2388.05,47.36,2388.11
21,1582.78,1404.06,2388.0,47.26,2388.04
22,1587.51,1395.09,2388.04,47.19,2388.06
23,1594.29,1400.15,2388.07,47.29,2388.12
24,1582.43,1400.23,2388.11,47.37,2388.08
25,1583.28,1408.07,2388.08,47.33,2388.07
26,1586.65,1400.31,2388.09,47.34,2388.02
27,1594.25,1401.29,2388.07,47.05,2388.07
28,1587.15,1398.11,2388.08,47.42,2388.07
29,1585.72,1400.97,2388.09,47.4,2388.1
30,1581.22,1398.91,2388.08,47.23,2388.06
31,1589.3,1407.16,2388.1,47.43,2388.14
32,1588.43,1405.47,2388.07,47.45,2388.08
33,1595.6,1410.86,2388.13,47.45,2388.08
34,1583.43,1408.23,2388.14,47.42,2388.06
35,1585.03,1407.6,2388.13,47.47,2388.11
36,1579.87,1402.27,2388.11,47.6,2388.06
37,1594.28,1405.38,2388.14,47.52,2388.07
38,1583.23,1404.58,2388.07,47.41,2388.15
39,1588.74,1407.54,2388.09,47.47,2388.08
40,1590.87,1406.04,2388.12,47.47,2388.1
41,1594.61,1407.53,2388.08,47.37,2388.12
42,1599.04,1412.05,2388.12,47.64,2388.08
43,1583.94,1402.56,2388.13,47.39,2388.1
44,1589.62,1402.63,2388.17,47.53,2388.04
45,1582.15,1398.72,2388.1,47.65,2388.15
46,1588.49,1401.46,2388.15,47.32,2388.12
47,1583.24,1408.27,2388.05,47.53,2388.07
48,1596.19,1403.2,2388.12,47.3,2388.09
49,1595.07,1405.63,2388.14,47.4,2388.08
50,1589.15,1400.69,2388.12,47.55,2388.15
51,1590.72,1402.4,2388.08,47.62,2388.12
52,1585.48,1412.69,2388.05,47.54,2388.09
53,1591.13,1407.82,2388.15,47.33,2388.11
54,1590.83,1408.84,2388.1,47.45,2388.11
55,1590.17,1404.7,2388.04,47.52,2388.12
56,1587.04,1408.29,2388.16,47.46,2388.1
57,1596.98,1408.7,2388.16,47.53,2388.11
58,1592.33,1404.59,2388.12,47.47,2388.08
59,1581.85,1401.94,2388.1,47.37,2388.12
60,1583.78,1409.97,2388.12,47.49,2388.11
61,1591.32,1402.47,2388.11,47.53,2388.13
62,1594.31,1416.93,2388.16,47.51,2388.11
63,1592.58,1405.06,2388.09,47.49,2388.06
64,1582.25,1409.15,2388.13,47.54,2388.09
65,1597.36,1402.02,2388.09,47.42,2388.14
66,1584.89,1407.87,2388.12,47.48,2388.12
67,1581.9,1404.83,2388.11,47.19,2388.16
68,1588.47,1401.81,2388.1,47.5,2388.12
69,1591.62,1405.46,2388.1,47.58,2388.13
70,1590.33,1407.82,2388.16,47.47,2388.12
71,1595.98,1405.79,2388.08,47.44,2388.1
72,1586.43,1409.1,2388.09,47.45,2388.14
73,1588.4,1405.06,2388.11,47.55,2388.15
74,1591.75,1411.05,2388.12,47.65,2388.13
75,1590.52,1406.2,2388.09,47.5,2388.1
76,1589.31,1401.67,2388.11,47.42,2388.1
77,1587.58,1403.23,2388.06,47.5,2388.11
78,1587.71,1411.96,2388.18,47.44,2388.11
79,1586.59,1410.83,2388.1,47.67,2388.09
80,1589.92,1408.39,2388.07,47.71,2388.13
81,1597.31,1407.9,2388.11,47.44,2388.08
82,1586.77,1407.58,2388.06,47.4,2388.09
83,1590.52,1401.42,2388.08,47.66,2388.09
84,1583.09,1405.87,2388.16,47.54,2388.09
85,1589.1,1406.66,2388.1,47.3,2388.1
86,1592.23,1397.15,2388.06,47.63,2388.09
87,1588.26,1407.24,2388.09,47.5,2388.08
88,1591.62,1403.38,2388.15,47.52,2388.08
89,1596.44,1408.66,2388.09,47.55,2388.11
90,1589.27,1404.58,2388.12,47.53,2388.04
91,1594.87,1406.67,2388.15,47.31,2388.13
92,1588.36,1410.26,2388.09,47.55,2388.11
93,1593.0,1404.23,2388.12,47.45,2388.11
94,1586.67,1407.25,2388.13,47.53,2388.11
95,1592.5,1400.05,2388.08,47.53,2388.1
96,1588.45,1405.4,2388.07,47.59,2388.15
97,1581.11,1409.15,2388.1,47.61,2388.08
98,1587.4,1410.35,2388.13,47.57,2388.09
99,1588.87,1410.34,2388.09,47.59,2388.13
100,1586.06,1406.87,2388.12,47.53,2388.08
101,1586.63,1402.35,2388.11,47.57,2388.17
102,1588.75,1406.58,2388.13,47.44,2388.13
103,1591.61,1401.64,2388.1,47.43,2388.12
104,1594.78,1407.93,2388.1,47.69,2388.14
105,1588.91,1401.57,2388.15,47.46,2388.09
106,1586.55,1406.9,2388.14,47.58,2388.11
107,1586.87,1404.55,2388.13,47.6,2388.08
108,1586.1,1410.46,2388.1,47.46,2388.08
109,1589.93,1409.81,2388.1,47.57,2388.09
110,1585.97,1410.98,2388.08,47.59,2388.1
111,1586.34,1405.97,2388.11,47.58,2388.05
112,1596.15,1417.42,2388.11,47.54,2388.15
113,1584.06,1413.43,2388.13,47.69,2388.14
114,1589.74,1407.48,2388.05,47.41,2388.14
115,1593.83,1403.73,2388.15,47.55,2388.09
116,1585.67,1407.71,2388.09,47.53,2388.11
117,1596.84,1409.5,2388.09,47.6,2388.13
118,1593.97,1406.25,2388.11,47.55,2388.09
119,1588.58,1407.3,2388.16,47.57,2388.18
120,1596.7,1406.09,2388.15,47.49,2388.12
121,1590.47,1415.23,2388.13,47.36,2388.1
122,1589.26,1413.2,2388.11,47.5,2388.1
123,1586.46,1410.72,2388.13,47.59,2388.14
124,1588.36,1405.75,2388.13,47.57,2388.14
125,1587.99,1401.94,2388.09,47.55,2388.09
126,1587.05,1407.79,2388.14,47.56,2388.11
127,1586.63,1411.59,2388.08,47.58,2388.09
128,1592.85,1406.74,2388.12,47.54,2388.08
129,1590.17,1412.49,2388.11,47.68,2388.07
130,1588.68,1406.19,2388.11,47.4,2388.12
131,1588.89,1406.76,2388.11,47.43,2388.11
132,1588.86,1409.88,2388.13,47.6,2388.13
133,1596.47,1408.82,2388.12,47.52,2388.12
134,1591.57,1409.51,2388.18,47.63,2388.11
135,1594.76,1407.64,2388.12,47.45,2388.11
