,s1,s2,s3,s4,target
0,1589.7,1400.6,2388.06,47.47,2388.02
1,1591.82,1403.14,2388.04,47.49,2388.07
2,1587.99,1404.2,2388.08,47.27,2388.03
3,1582.79,1401.87,2388.11,47.13,2388.08
4,1582.85,1406.22,2388.06,47.28,2388.04
5,1584.47,1398.37,2388.02,47.16,2388.03
6,1592.32,1397.77,2388.02,47.36,2388.03
7,1582.96,1400.97,2388.0,47.24,2388.03
8,1590.98,1394.8,2388.05,47.29,2388.05
9,1591.24,1400.46,2388.05,47.03,2388.06
10,1581.75,1400.64,2388.05,47.15,2388.01
11,1583.41,1400.15,2388.09,47.18,2388.02
12,1582.19,1400.83,2388.12,47.38,2388.08
13,1592.95,1399.16,2388.09,47.44,2388.0
14,1583.82,1402.13,2388.11,47.3,2388.08
15,1587.98,1404.5,2388.05,47.24,2388.07
16,1584.96,1399.95,2388.06,47.12,2388.04
17,1591.04,1396.12,2388.05,47.21,2388.07
18,1587.56,1400.35,2388.04,47.4,2388.03
19,1581.11,1405.23,2388.05,47.22,2388.02
20,1586.07,1398.13,2388.11,47.15,2388.08
21,1592.93,1400.57,2388.04,47.24,2388.03
22,1588.19,1394.75,2388.05,47.25,2388.05
23,1590.83,1398.81,2388.12,47.44,2388.03
24,1594.1,1399.39,2388.02,47.36,2388.02
25,1589.08,1396.07,2388.07,47.26,2388.06
26,1590.47,1401.84,2388.02,47.37,2388.13
27,1582.84,1399.13,2388.12,47.41,2388.08
28,1584.83,1400.99,2388.05,47.24,2388.06
29,1593.52,1396.08,2388.07,47.4,2388.0
30,1584.18,1396.9,2388.08,47.41,2388.06
31,1591.38,1400.36,2388.04,47.25,2388.07
32,1588.4,1402.43,2388.04,47.28,2388.08
33,1581.47,1400.48,2388.03,47.47,2388.09
34,1590.0,1403.0,2388.04,47.31,2388.01
35,1581.72,1405.54,2388.01,47.25,2388.04
36,1579.11,1398.9,2388.07,47.29,2388.04
37,1589.6,1399.5,2388.08,47.27,2388.08
38,1583.21,1400.69,2388.02,47.12,2388.05
39,1582.08,1401.77,2388.06,47.33,2388.01
40,1591.31,1403.21,2388.06,47.09,2388.03
41,1584.66,1401.38,2388.08,47.49,2388.05
42,1591.52,1406.05,2388.03,47.32,2388.09
43,1586.94,1401.2,2388.04,47.45,2388.0
44,1582.42,1399.16,2388.08,47.45,2388.05
45,1588.29,1401.27,2388.06,47.2,2388.08
46,1580.32,1402.89,2388.06,47.22,2388.05
47,1588.51,1399.16,2388.08,47.4,2388.06
48,1584.35,1397.76,2388.07,47.22,2388.04
49,1588.49,1403.62,2388.06,47.47,2388.09
50,1585.54,1400.42,2388.02,47.12,2388.05
51,1583.77,1395.57,2388.04,47.07,2388.07
52,1579.82,1402.26,2388.05,47.29,2388.06
53,1592.59,1401.2,2388.04,47.38,2388.06
54,1584.95,1401.58,2388.04,47.4,2388.02
55,1586.33,1400.76,2388.01,47.26,2388.04
56,1583.67,1402.79,2388.05,47.29,2388.08
57,1590.46,1397.99,2388.09,47.26,2388.04
